Site,Species,# Observed,Estimated %,Interpolated #,# X 4,Picture #
TaurangaHead,Chamaesipho columna,242,79,314,,13
TaurangaHead,Chamaesipho columna,281,53,524,,14
TaurangaHead,Chamaesipho columna,280,69,415,,15
TaurangaHead,Chamaesipho columna,268,78,385,,
TaurangaHead,Chamaesipho columna,238,63,421,,
TaurangaHead,Chamaesipho columna,265,84,321,,
TaurangaHead,Chamaesipho columna,325,65,435,,
TaurangaHead,Chamaesipho columna,118,23,335,,
TaurangaHead,Chamaesipho columna,276,61,379,,
TaurangaHead,Chamaesipho columna,433,98,456,,
TaurangaHead,Chamaesipho columna,309,76,412,,
TaurangaHead,Chamaesipho columna,226,97,233,,
TaurangaHead,Chamaesipho columna,147,73,224,,
TaurangaHead,Chamaesipho columna,253,91,286,,
TaurangaHead,Chamaesipho columna,159,62,279,,
TaurangaHead,Chamaesipho columna,475,81,582,,
TaurangaHead,Chamaesipho columna,418,86,491,,
TaurangaHead,Chamaesipho columna,371,62,603,,
TaurangaHead,Chamaesipho columna,392,97,417,,
TaurangaHead,Chamaesipho columna,342,74,442,,
TaurangaHead,Chamaesipho columna,426,81,572,,
TaurangaHead,Epopella plicata,5,12,29,,
TaurangaHead,Epopella plicata,1,2,38,,2
TaurangaHead,Epopella plicata,13,21,56,,3
TaurangaHead,Epopella plicata,8,17,47,,6
TaurangaHead,Epopella plicata,6,8,62,,
TaurangaHead,Epopella plicata,7,6,164,,12
TaurangaHead,Epopella plicata,15,18,98
TaurangaHead,Epopella plicata,2,7,59
TaurangaHead,Epopella plicata,12,9,74
TaurangaHead,Epopella plicata,22,20,171
TaurangaHead,Epopella plicata,61,89,78
TaurangaHead,Epopella plicata,47,48,107
TaurangaHead,Epopella plicata,14,16,57
TaurangaHead,Epopella plicata,5,10,58
TaurangaHead,Epopella plicata,43,73,70
TaurangaHead,Epopella plicata,56,60,81
TaurangaHead,Epopella plicata,7,8,66
TaurangaHead,Epopella plicata,29,46,69
TaurangaHead,Epopella plicata,15,48,36
TaurangaHead,Epopella plicata,19,30,64
TaurangaHead,Epopella plicata,45,73,61
TaurangaHead,Epopella plicata,20,28,70
TaurangaHead,Epopella plicata,27,47,59,,
TaurangaHead,Epopella plicata,39,50,75,,
TaurangaHead,Epopella plicata,31,52,58,,
TaurangaHead,Epopella plicata,45,58,70,,
TaurangaHead,Epopella plicata,23,20,80,,
TaurangaHead,Epopella plicata,9,17,86,,
TaurangaHead,Epopella plicata,14,22,73,,
TaurangaHead,Epopella plicata,4,16,36,,
TaurangaHead,Xenostrobus pulex,82,63,123,,
TaurangaHead,Xenostrobus pulex,34,17,121,,
TaurangaHead,Xenostrobus pulex,42,35,118,,
TaurangaHead,Xenostrobus pulex,1,5,229,,
TaurangaHead,Xenostrobus pulex,38,31,109,,1
TaurangaHead,Xenostrobus pulex,70,75,104,,7
TaurangaHead,Xenostrobus pulex,5,3,169,,8
TaurangaHead,Xenostrobus pulex,32,52,58,,9
TaurangaHead,Xenostrobus pulex,15,24,69,,10
TaurangaHead,Xenostrobus pulex,16,46,43,,11
TaurangaHead,Xenostrobus pulex,53,93,56,,
TaurangaHead,Xenostrobus pulex,45,38,116,,
TaurangaHead,Xenostrobus pulex,52,98,53,,
TaurangaHead,Xenostrobus pulex,60,96,62,,
TaurangaHead,Xenostrobus pulex,24,42,52,,
TaurangaHead,Xenostrobus pulex,39,89,48,,
TaurangaHead,Xenostrobus pulex,25,48,47,,
TaurangaHead,Xenostrobus pulex,52,92,56,,
TaurangaHead,Xenostrobus pulex,62,86,72,,
TaurangaHead,Xenostrobus pulex,14,11,81,,12
TaurangaHead,Xenostrobus pulex,28,8,309,,15
TaurangaHead,Xenostrobus pulex,12,6,218,,
TaurangaHead,Xenostrobus pulex,16,7,224,,
TaurangaHead,Xenostrobus pulex,6,3,236,,
TaurangaHead,Xenostrobus pulex,119,100,119
TaurangaHead,Xenostrobus pulex,4,2,266
TaurangaHead,Xenostrobus pulex,41,88,53
TaurangaHead,Xenostrobus pulex,109,85,137
TaurangaHead,Xenostrobus pulex,48,67,83
TaurangaHead,Xenostrobus pulex,33,41,72
TaurangaHead,Xenostrobus pulex,44,68,72
TaurangaHead,Xenostrobus pulex,34,66,61
TaurangaHead,Xenostrobus pulex,89,100,89
TaurangaHead,Xenostrobus pulex,95,100,95
TaurangaHead,Xenostrobus pulex,96,100,96
TaurangaHead,Xenostrobus pulex,78,100,78
TaurangaHead,Xenostrobus pulex,70,98,74
TaurangaHead,Xenostrobus pulex,81,96,89
TaurangaHead,Xenostrobus pulex,79,98,84
TaurangaHead,Xenostrobus pulex,53,23,243
TaurangaHead,Aulacomya atra maoriana,1,8,17
TaurangaHead,Aulacomya atra maoriana,2,11,14
TaurangaHead,Aulacomya atra maoriana,1,16,8
TaurangaHead,Aulacomya atra maoriana,1,23,5
TaurangaHead,Aulacomya atra maoriana,2,14,13
TaurangaHead,Aulacomya atra maoriana,1,10,10
TaurangaHead,Aulacomya atra maoriana,1,11,9
TaurangaHead,Aulacomya atra maoriana,1,8,14
TaurangaHead,Aulacomya atra maoriana,2,19,9
TaurangaHead,Aulacomya atra maoriana,2,29,8
TaurangaHead,Aulacomya atra maoriana,1,8,13
TaurangaHead,Aulacomya atra maoriana,1,15,8
TaurangaHead,Aulacomya atra maoriana,2,27,7
TaurangaHead,Aulacomya atra maoriana,1,6,23
TaurangaHead,Aulacomya atra maoriana,1,23,5
TaurangaHead,Calantica spp,1,6,16
TaurangaHead,Calantica spp,2,10,22
TaurangaHead,Calantica spp,3,29,10
TaurangaHead,Calantica spp,5,31,13
TaurangaHead,Calantica spp,4,47,10
TaurangaHead,Calantica spp,6,58,16
TaurangaHead,Calantica spp,3,8,36
TaurangaHead,Calantica spp,7,28,26
TaurangaHead,Calantica spp,6,26,22
TaurangaHead,Calantica spp,5,27,16
TaurangaHead,Calantica spp,4,23,15
TaurangaHead,Calantica spp,1,11,13
TaurangaHead,Calantica spp,1,13,9
TaurangaHead,Calantica spp,9,82,12
TaurangaHead,Calantica spp,7,25,30
TaurangaHead,Mytilus galloprovincialis,9,81,10
TaurangaHead,Mytilus galloprovincialis,10,84,12
TaurangaHead,Mytilus galloprovincialis,8,88,9
TaurangaHead,Mytilus galloprovincialis,7,93,8
TaurangaHead,Mytilus galloprovincialis,8,100,8
TaurangaHead,Mytilus galloprovincialis,4,53,7
TaurangaHead,Mytilus galloprovincialis,7,71,10
TaurangaHead,Mytilus galloprovincialis,3,54,6
TaurangaHead,Mytilus galloprovincialis,10,86,12
TaurangaHead,Mytilus galloprovincialis,1,47,2
TaurangaHead,Mytilus galloprovincialis,10,100,10
TaurangaHead,Mytilus galloprovincialis,6,97,7
TaurangaHead,Mytilus galloprovincialis,5,74,7
TaurangaHead,Mytilus galloprovincialis,5,71,7
TaurangaHead,Mytilus galloprovincialis,2,89,3
TaurangaHead,Mytilus galloprovincialis,3,62,6
TaurangaHead,Mytilus galloprovincialis,10,84,11
TaurangaHead,Mytilus galloprovincialis,11,100,11
TaurangaHead,Mytilus galloprovincialis,9,100,9
TaurangaHead,Mytilus galloprovincialis,7,88,8
TaurangaHead,Mytilus galloprovincialis,10,100,10
TaurangaHead,Mytilus galloprovincialis,5,100,5
TaurangaHead,Mytilus galloprovincialis,10,90,11
TaurangaHead,Mytilus galloprovincialis,10,81,12
TaurangaHead,Mytilus galloprovincialis,9,87,10
TaurangaHead,Mytilus galloprovincialis,12,92,13
TaurangaHead,Mytilus galloprovincialis,7,72,11
TaurangaHead,Mytilus galloprovincialis,8,95,9
TaurangaHead,Mytilus galloprovincialis,11,100,11
TaurangaHead,Mytilus galloprovincialis,10,100,10
PaiaPoint,Aulacomya atra maoriana,3,8,54
PaiaPoint,Aulacomya atra maoriana,1,2,78
PaiaPoint,Aulacomya atra maoriana,3,7,43
PaiaPoint,Aulacomya atra maoriana,1,8,14
PaiaPoint,Aulacomya atra maoriana,4,10,33,
PaiaPoint,Aulacomya atra maoriana,1,3,57,
PaiaPoint,Aulacomya atra maoriana,3,16,30,
PaiaPoint,Aulacomya atra maoriana,10,38,21,
PaiaPoint,Aulacomya atra maoriana,1,3,46,
PaiaPoint,Aulacomya atra maoriana,3,12,33,
PaiaPoint,Aulacomya atra maoriana,3,9,49,
PaiaPoint,Aulacomya atra maoriana,3,6,62,
PaiaPoint,Xenostrobus pulex,10,2,405,
PaiaPoint,Xenostrobus pulex,11,3,342,
PaiaPoint,Xenostrobus pulex,4,1,483,
PaiaPoint,Xenostrobus pulex,1,0.1,564,
PaiaPoint,Xenostrobus pulex,3,0.5,572,143
PaiaPoint,Xenostrobus pulex,1,2,185,
PaiaPoint,Xenostrobus pulex,3,1,406,
PaiaPoint,Xenostrobus pulex,1,1,232,
PaiaPoint,Xenostrobus pulex,1,0.5,564,141
PaiaPoint,Xenostrobus pulex,4,4,247,
PaiaPoint,Xenostrobus pulex,13,3,364,91
PaiaPoint,Xenostrobus pulex,8,5,221,
PaiaPoint,Xenostrobus pulex,1,0.5,392,98
PaiaPoint,Xenostrobus pulex,1,0.1,668,167
PaiaPoint,Xenostrobus pulex,1,0.1,1020,255
PaiaPoint,Xenostrobus pulex,4,0.5,544,136
PaiaPoint,Xenostrobus pulex,3,1,464,116
PaiaPoint,Xenostrobus pulex,7,1,572,143
PaiaPoint,Xenostrobus pulex,9,3,368,92
PaiaPoint,Xenostrobus pulex,2,0.5,428,107
PaiaPoint,Xenostrobus pulex,5,1.5,396,99
PaiaPoint,Xenostrobus pulex,1,0.1,820,205
PaiaPoint,Xenostrobus pulex,7,2,484,121
PaiaPoint,Xenostrobus pulex,2,0.1,376,94
PaiaPoint,Xenostrobus pulex,2,0.5,484,121,
PaiaPoint,Xenostrobus pulex,2,0.1,748,187,
PaiaPoint,Xenostrobus pulex,4,2,484,121,
PaiaPoint,Calantica spp,2,80,4,,
PaiaPoint,Calantica spp,2,46,5,,
PaiaPoint,Calantica spp,3,51,6,,
PaiaPoint,Calantica spp,5,83,8,,
PaiaPoint,Calantica spp,4,47,9,,
PaiaPoint,Calantica spp,2,11,18,,
PaiaPoint,Calantica spp,8,71,12,,
PaiaPoint,Chamaesipho brunnea,35,23,109,,17
PaiaPoint,Chamaesipho brunnea,15,5,461,,18
PaiaPoint,Chamaesipho brunnea,10,3,317,,
PaiaPoint,Chamaesipho brunnea,34,7,383,,
PaiaPoint,Chamaesipho brunnea,8,6,76,,
PaiaPoint,Chamaesipho brunnea,30,27,127,,
PaiaPoint,Chamaesipho brunnea,43,42,124,,
PaiaPoint,Chamaesipho columna,88,18,390,,17
PaiaPoint,Chamaesipho columna,110,22,455,,18
PaiaPoint,Chamaesipho columna,55,25,301,,
PaiaPoint,Chamaesipho columna,72,18,399,,
PaiaPoint,Chamaesipho columna,86,21,368,,
PaiaPoint,Chamaesipho columna,164,34,452,,
PaiaPoint,Chamaesipho columna,102,26,401,,
PaiaPoint,Chamaesipho columna,90,24,348,,
PaiaPoint,Chamaesipho columna,28,4,492,,
PaiaPoint,Chamaesipho columna,175,43,339,,
PaiaPoint,Epopella plicata,3,9,50,,
PaiaPoint,Epopella plicata,2,13,22,,
PaiaPoint,Epopella plicata,6,26,23,,
PaiaPoint,Epopella plicata,4,20,39,,
PaiaPoint,Epopella plicata,7,12,50,,
PaiaPoint,Epopella plicata,2,8,44
PaiaPoint,Epopella plicata,8,17,54
PaiaPoint,Epopella plicata,9,25,42
PaiaPoint,Epopella plicata,6,11,67
PaiaPoint,Epopella plicata,1,3,74
PaiaPoint,Epopella plicata,21,50,51
PaiaPoint,Epopella plicata,12,27,54
PaiaPoint,Epopella plicata,8,19,55
PaiaPoint,Epopella plicata,8,18,57
PaiaPoint,Epopella plicata,11,25,53
PaiaPoint,Epopella plicata,8,14,54
PaiaPoint,Epopella plicata,12,18,59
PaiaPoint,Epopella plicata,2,6,43
PaiaPoint,Epopella plicata,9,10,49
PaiaPoint,Epopella plicata,8,22,36
PaiaPoint,Epopella plicata,14,25,53
PaiaPoint,Epopella plicata,3,7,46
PaiaPoint,Epopella plicata,5,14,46
PaiaPoint,Epopella plicata,10,31,37
PaiaPoint,Epopella plicata,3,6,65
PaiaPoint,Epopella plicata,7,21,42
PaiaPoint,Epopella plicata,7,12,60
PaiaPoint,Epopella plicata,10,24,45
PaiaPoint,Mytilus galloprovincialis,3,40,7
PaiaPoint,Mytilus galloprovincialis,5,11,40
PaiaPoint,Mytilus galloprovincialis,4,8,34
PaiaPoint,Mytilus galloprovincialis,4,46,10
Rakautara,Aulacomya atra maoriana,2,8,27
Rakautara,Aulacomya atra maoriana,3,13,56
Rakautara,Aulacomya atra maoriana,5,21,34
Rakautara,Aulacomya atra maoriana,2,10,28
Rakautara,Aulacomya atra maoriana,5,19,36
Rakautara,Aulacomya atra maoriana,2,4,48
Rakautara,Aulacomya atra maoriana,8,22,48
Rakautara,Aulacomya atra maoriana,7,21,30
Rakautara,Aulacomya atra maoriana,4,29,15
Rakautara,Aulacomya atra maoriana,6,42,12
Rakautara,Aulacomya atra maoriana,12,61,22
Rakautara,Aulacomya atra maoriana,3,4,41
Rakautara,Aulacomya atra maoriana,1,4,34
Rakautara,Aulacomya atra maoriana,5,32,19
Rakautara,Aulacomya atra maoriana,4,18,17
Rakautara,Calantica spp,6,46,13
Rakautara,Calantica spp,5,52,10
Rakautara,Calantica spp,4,39,11
Rakautara,Calantica spp,3,50,6
Rakautara,Calantica spp,5,69,8
Rakautara,Calantica spp,3,54,5
Rakautara,Calantica spp,5,46,12,,
Rakautara,Calantica spp,3,49,7,,
Rakautara,Calantica spp,2,27,8,,
Rakautara,Calantica spp,3,20,9,,
Rakautara,Calantica spp,3,34,10,,
Rakautara,Calantica spp,7,72,11,,
Rakautara,Chamaesipho brunnea,11,6,182,,14
Rakautara,Chamaesipho brunnea,15,3,330,,15
Rakautara,Chamaesipho brunnea,35,9,381,,16
Rakautara,Chamaesipho brunnea,45,16,238,,
Rakautara,Chamaesipho brunnea,126,54,300,,
Rakautara,Chamaesipho brunnea,53,51,121,,17
Rakautara,Chamaesipho brunnea,38,47,79,,18
Rakautara,Chamaesipho brunnea,26,12,132,,
Rakautara,Chamaesipho brunnea,43,14,397,,19
Rakautara,Chamaesipho brunnea,24,11,170,,20
Rakautara,Chamaesipho brunnea,39,38,88,,21
Rakautara,Chamaesipho brunnea,20,21,89,,22
Rakautara,Chamaesipho brunnea,52,78,72,,
Rakautara,Chamaesipho brunnea,12,14,94,,
Rakautara,Chamaesipho brunnea,36,29,84,,
Rakautara,Chamaesipho brunnea,35,56,66,,
Rakautara,Chamaesipho brunnea,32,24,11,,
Rakautara,Chamaesipho columna,74,21,420,,14
Rakautara,Chamaesipho columna,42,14,347,,15
Rakautara,Chamaesipho columna,66,19,365,,16
Rakautara,Chamaesipho columna,4,2,421,,
Rakautara,Chamaesipho columna,80,16,422,,19
Rakautara,Chamaesipho columna,77,22,278,,20
Rakautara,Chamaesipho columna,70,25,340,,21
Rakautara,Chamaesipho columna,187,42,380,,22
Rakautara,Chamaesipho columna,114,49,360,,
Rakautara,Chamaesipho columna,17,4,349,,
Rakautara,Chamaesipho columna,106,47,394,,
Rakautara,Chamaesipho columna,93,41,255,,
Rakautara,Chamaesipho columna,34,8,356,,
Rakautara,Chamaesipho columna,53,13,333,,
Rakautara,Chamaesipho columna,67,22,412,,
Rakautara,Chamaesipho columna,50,11,375,,
Rakautara,Chamaesipho columna,110,60,301,,
Rakautara,Chamaesipho columna,54,19,362,,
Rakautara,Chamaesipho columna,310,61,406,,
Rakautara,Chamaesipho columna,61,5,313,,
Rakautara,Chamaesipho columna,87,14,461,,
Rakautara,Chamaesipho columna,166,37,392,,
Rakautara,Epopella plicata,23,42,51,,15
Rakautara,Epopella plicata,3,8,63,,16
Rakautara,Epopella plicata,6,24,21,,
Rakautara,Epopella plicata,11,36,36
Rakautara,Epopella plicata,1,4,50
Rakautara,Epopella plicata,2,12,30
Rakautara,Epopella plicata,13,43,64
Rakautara,Epopella plicata,3,10,38
Rakautara,Epopella plicata,5,19,38
Rakautara,Epopella plicata,3,14,48
Rakautara,Epopella plicata,28,76,43
Rakautara,Epopella plicata,7,13,63
Rakautara,Epopella plicata,34,81,42
Rakautara,Epopella plicata,12,33,56
Rakautara,Epopella plicata,16,46,34
Rakautara,Epopella plicata,2,8,40
Rakautara,Epopella plicata,9,57,17
Rakautara,Epopella plicata,10,49,24
Rakautara,Epopella plicata,1,7,8
Rakautara,Epopella plicata,5,31,13
Rakautara,Epopella plicata,11,79,17
Rakautara,Epopella plicata,5,24,32
Rakautara,Epopella plicata,6,17,26
Rakautara,Epopella plicata,6,21,30
Rakautara,Epopella plicata,12,62,18
Rakautara,Epopella plicata,3,11,38
Rakautara,Epopella plicata,5,13,46
Rakautara,Mytilus galloprovincialis,1,21,8
Rakautara,Mytilus galloprovincialis,3,26,19
Rakautara,Mytilus galloprovincialis,1,7,28
Rakautara,Mytilus galloprovincialis,1,14,8
Rakautara,Mytilus galloprovincialis,1,9,16
Rakautara,Mytilus galloprovincialis,1,16,9
Rakautara,Mytilus galloprovincialis,2,19,20
Rakautara,Mytilus galloprovincialis,1,17,9
Rakautara,Mytilus galloprovincialis,1,25,5,
Rakautara,Mytilus galloprovincialis,1,17,12,
Rakautara,Mytilus galloprovincialis,1,20,7,
Rakautara,Mytilus galloprovincialis,2,18,11,
Rakautara,Mytilus galloprovincialis,1,16,9,
Rakautara,Mytilus galloprovincialis,8,71,13,
Rakautara,Mytilus galloprovincialis,6,39,18,
Rakautara,Xenostrobus pulex,16,8,167,
Rakautara,Xenostrobus pulex,2,3,126,
Rakautara,Xenostrobus pulex,1,0.5,476,119
Rakautara,Xenostrobus pulex,2,2,184,46
Rakautara,Xenostrobus pulex,1,1,276,69
Rakautara,Xenostrobus pulex,2,1,316,79
Rakautara,Xenostrobus pulex,1,0.1,996,249
Rakautara,Xenostrobus pulex,2,1.5,252,63
Rakautara,Xenostrobus pulex,3,2,308,77
Rakautara,Xenostrobus pulex,1,0.1,1064,266
Rakautara,Xenostrobus pulex,1,0.5,656,164
Rakautara,Xenostrobus pulex,4,2,396,99
Rakautara,Xenostrobus pulex,2,3,200,50
Rakautara,Xenostrobus pulex,1,0.1,588,147
Rakautara,Xenostrobus pulex,4,0.5,1420,355
Rakautara,Xenostrobus pulex,1,0.5,432,108
Rakautara,Xenostrobus pulex,3,2,364,91
Rakautara,Xenostrobus pulex,2,1,516,129
Rakautara,Xenostrobus pulex,3,0.5,600,150
Rakautara,Xenostrobus pulex,6,4,424,106
Rakautara,Xenostrobus pulex,3,0.5,796,199
Rakautara,Xenostrobus pulex,2,1,612,153
Rakautara,Xenostrobus pulex,5,0.5,632,158
Rakautara,Xenostrobus pulex,1,0.1,900,225
Rakautara,Xenostrobus pulex,5,2,520,130
Rakautara,Xenostrobus pulex,1,0.5,504,126,
Rakautara,Xenostrobus pulex,1,1,256,64,
Rakautara,Xenostrobus pulex,2,1,444,111,
Rakautara,Xenostrobus pulex,1,0.5,580,145,
PaiaPoint,Lasaea rubra hinemoa,4,0.5,804,201,
PaiaPoint,Lasaea rubra hinemoa,1,0.1,616,154,
PaiaPoint,Lasaea rubra hinemoa,15,2,792,198,
PaiaPoint,Lasaea rubra hinemoa,5,1,656,164,
PaiaPoint,Lasaea rubra hinemoa,4,0.5,728,182,
JacksonHead,Chamaesipho columna,264,61,373,,10
JacksonHead,Chamaesipho columna,125,28,419,,11
JacksonHead,Chamaesipho columna,175,41,381,,12
TaurangaHead,Xenostrobus pulex,74,100,74,,
TaurangaHead,Xenostrobus pulex,56,100,56,,
TaurangaHead,Xenostrobus pulex,86,98,92,,
TaurangaHead,Xenostrobus pulex,74,97,77,,
TaurangaHead,Xenostrobus pulex,132,100,132
TaurangaHead,Xenostrobus pulex,67,81,90
TaurangaHead,Xenostrobus pulex,78,76,98
TaurangaHead,Xenostrobus pulex,65,100,65
TaurangaHead,Xenostrobus pulex,58,100,58
TaurangaHead,Xenostrobus pulex,66,96,63
